iter	Passed	Remaining
0	0	79
1	1	72
2	2	71
3	2	67
4	3	70
5	4	68
6	5	70
7	6	69
8	6	68
9	7	66
10	8	65
11	8	65
12	9	64
13	10	62
14	10	61
15	11	60
16	12	59
17	12	58
18	13	57
19	14	56
20	15	56
21	15	56
22	16	55
23	17	54
24	17	53
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	23	48
32	23	48
33	24	47
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	49	19
72	50	18
73	51	18
74	51	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	60	9
87	60	8
88	61	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	69	0
99	69	0
